fecha,turbina_vapor,turbina_gas,geotermica,solar,eolica,plantas_hidraulicas,motores_reciprocantes,importaciones_sin,exportaciones_sin,demanda_maxima_sni,subtotal_generacion_sni
09/07/2021,10525.3325,0.0,703.655,591.5125,1073.5674999999999,18323.0075,1328.47,3903.75,-2813.385,1718.185,32545.545
08/07/2021,9636.575,0.0,728.83,670.4725,491.55,21018.41,105.13,3864.5,-2802.955,1737.39,32650.9675
02/07/2021,8635.215,55.725,746.0925,521.095,68.1575,23343.98,954.26,2951.0,-4101.4675,1741.9174999999998,34324.525
04/07/2021,7058.73,0.0,742.88,386.22,318.605,18161.8375,89.14750000000001,4544.5,-2836.925,1565.4299999999998,26757.420000000002
03/07/2021,7958.8550000000005,0.0,744.3625,568.335,273.5325,21071.8375,2008.8799999999999,1844.25,-3313.6800000000003,1641.0975,32625.8025
10/07/2021,7052.255,0.0,734.0225,737.515,1438.19,18666.645,968.885,4497.25,-2735.0225,1610.3899999999999,29597.5125
05/07/2021,8657.8675,0.0,755.9525,251.19,94.5425,20129.645,1793.215,3636.5,-2941.31,1708.245,31682.412500000002
07/07/2021,8336.7075,10.0,754.7,591.4025,85.205,20837.4225,73.48,5109.5,-2596.57,1698.295,30688.9175
11/07/2021,5635.815,0.0,737.525,464.685,1606.0975,18876.765,171.75,3523.75,-2412.5075,1535.6699999999998,27492.6375
16/07/2021,6739.0425,0.0,727.7825,634.38,1489.655,21746.7225,1014.7625,3546.99,-2788.2,1705.905,32352.345
12/07/2021,6344.7575,0.0,737.3525,462.98,1065.5875,19662.275,2724.75,4075.0,-2433.1125,1721.5449999999998,30997.7025
13/07/2021,6129.4625,0.0,741.8625,633.585,1400.075,21473.57,212.7725,4551.9525,-1996.6025,1760.2724999999998,30591.3275
14/07/2021,4955.285,0.0,710.645,596.535,953.945,23840.23,460.4425,4057.25,-2648.7825,1699.4525,31517.0825
18/07/2021,6632.75,0.0,701.4925,688.96,1362.93,19228.5075,798.3900000000001,1057.68,-1956.3474999999999,1505.2,29413.03
17/07/2021,6605.58,0.0,731.62,743.87,1048.805,21142.4575,2441.355,1447.75,-2569.185,1633.0975,32713.6875
19/07/2021,7126.005,0.0,707.6,676.45,1912.505,20647.9825,336.94,3090.94,-1697.695,1752.605,31407.4825
21/07/2021,8965.2025,109.825,670.0675,655.555,1661.6975,18649.9425,2694.9,3828.75,-3248.09,1733.0475,33407.19
20/07/2021,8766.067500000001,20.0,702.6075,781.65,1587.585,19215.14,1320.41,3923.0,-2450.5375,1769.2825000000003,32393.46
23/07/2021,6119.8875,27.125,696.545,653.865,2297.0675,22741.935,21.6,3880.0,-2768.1075,1714.1125000000002,32558.025
24/07/2021,8231.55,45.0,713.4825,628.6274999999999,1544.5025,20543.4225,25.400000000000002,2425.25,-2561.7925,1632.1525,31731.985
27/07/2021,10000.817500000001,357.2,731.245,581.665,426.815,17692.93,4140.4475,3632.0,-2910.73,1802.4175,33931.12
22/07/2021,5846.7275,15.0,699.4875,764.625,1902.9775,21988.065,28.2,4475.5,-2303.0075,1752.1200000000001,31245.082499999997
